vertical,city_slug,state_code,provider_dataset_path,listing_json_path,runtime_ready,notes
trt,portland-me,ME,data/example_providers/trt/portland-me__trt.json,data/listings/portland-me.json,true,Wave 3 state-complete grouped TRT provider sets
trt,detroit-mi,MI,data/example_providers/trt/detroit-mi__trt.json,data/listings/detroit-mi.json,true,Wave 3 state-complete grouped TRT provider sets
trt,minneapolis-mn,MN,data/example_providers/trt/minneapolis-mn__trt.json,data/listings/minneapolis-mn.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,st-louis-mo,MO,data/example_providers/trt/st-louis-mo__trt.json,data/listings/st-louis-mo.json,true,Wave 3 state-complete grouped TRT provider sets
trt,jackson-ms,MS,data/example_providers/trt/jackson-ms__trt.json,data/listings/jackson-ms.json,true,Wave 3 state-complete grouped TRT provider sets
trt,billings-mt,MT,data/example_providers/trt/billings-mt__trt.json,data/listings/billings-mt.json,true,Wave 3 state-complete grouped TRT provider sets
trt,charlotte-nc,NC,data/example_providers/trt/charlotte-nc__trt.json,data/listings/charlotte-nc.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,fargo-nd,ND,data/example_providers/trt/fargo-nd__trt.json,data/listings/fargo-nd.json,true,Wave 3 state-complete grouped TRT provider sets
trt,omaha-ne,NE,data/example_providers/trt/omaha-ne__trt.json,data/listings/omaha-ne.json,true,Wave 3 state-complete grouped TRT provider sets
trt,manchester-nh,NH,data/example_providers/trt/manchester-nh__trt.json,data/listings/manchester-nh.json,true,Wave 3 state-complete grouped TRT provider sets
trt,newark-nj,NJ,data/example_providers/trt/newark-nj__trt.json,data/listings/newark-nj.json,true,Wave 3 state-complete grouped TRT provider sets
trt,albuquerque-nm,NM,data/example_providers/trt/albuquerque-nm__trt.json,data/listings/albuquerque-nm.json,true,Wave 3 state-complete grouped TRT provider sets
trt,las-vegas-nv,NV,data/example_providers/trt/las-vegas-nv__trt.json,data/listings/las-vegas-nv.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,new-york-city-ny,NY,data/example_providers/trt/new-york-city-ny__trt.json,data/listings/new-york-city-ny.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,columbus-oh,OH,data/example_providers/trt/columbus-oh__trt.json,data/listings/columbus-oh.json,true,Wave 3 state-complete grouped TRT provider sets
trt,oklahoma-city-ok,OK,data/example_providers/trt/oklahoma-city-ok__trt.json,data/listings/oklahoma-city-ok.json,true,Wave 3 state-complete grouped TRT provider sets
trt,portland-or,OR,data/example_providers/trt/portland-or__trt.json,data/listings/portland-or.json,true,Wave 3 state-complete grouped TRT provider sets
trt,philadelphia-pa,PA,data/example_providers/trt/philadelphia-pa__trt.json,data/listings/philadelphia-pa.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
trt,providence-ri,RI,data/example_providers/trt/providence-ri__trt.json,data/listings/providence-ri.json,true,Wave 3 state-complete grouped TRT provider sets
trt,columbia-sc,SC,data/example_providers/trt/columbia-sc__trt.json,data/listings/columbia-sc.json,true,Wave 3 state-complete grouped TRT provider sets
trt,sioux-falls-sd,SD,data/example_providers/trt/sioux-falls-sd__trt.json,data/listings/sioux-falls-sd.json,true,Wave 3 state-complete grouped TRT provider sets
trt,memphis-tn,TN,data/example_providers/trt/memphis-tn__trt.json,data/listings/memphis-tn.json,true,Wave 3 state-complete grouped TRT provider sets
trt,dallas-tx,TX,data/example_providers/trt/dallas-tx__trt.json,data/listings/dallas-tx.json,true,Wave 2 grouped TRT provider sets (metro/state verified standard 1)
